

,Hardness Scan Report for slapwas17e.academy.com on 2016-Feb-05-09:58

9.1.7,GShadow Ownership,=,Pass
9.1.8,Group Ownership,=,Pass
9.1.9,Un-Owned Files,=,Fail
9.1.10,Un-Grouped Files,=,Fail
9.2.1,Un-Owned Files,=,Pass
9.2.2,No Legacy Passwd,=,Pass
9.2.3,No Legacy Shadow,=,Pass
9.2.4,No Legacy Group,=,Pass
9.2.5,Only Root Zero,=,Pass
9.2.6,Root Path,=,Pass
9.2.7,Home Directories,=,Pass
9.2.8,User Dot File Perms,=,Fail
9.2.9,User Netrc File Perms,=,Pass
9.2.10,User Rhosts File Perms,=,Pass
9.2.11,Chk Groups in Passwd,=,Pass
9.2.12,Valid User Home Dir,=,Pass
9.2.13,User Home Dir Owner,=,Pass
9.2.14,Chk Duplicate UIDs,=,Pass
9.2.15,Chk Duplicate GIDs,=,Pass
9.2.16,Chk Reserved UIDs,=,Fail
9.2.17,Chk Duplicate User Names,=,Pass
9.2.18,Chk Duplicate Group Names,=,Pass
9.2.19,Chk User .netrc Files,=,Pass
9.2.20,Chk User .forward Files,=,Pass
